Date,^GSPC,^RUT,^NDX
2020-02-27 00:00:00+00:00,2978.760009765625,1497.8699951171875,8436.669921875
2020-02-28 00:00:00+00:00,2954.219970703125,1476.4300537109375,8461.830078125
2020-03-02 00:00:00+00:00,3090.22998046875,1518.489990234375,8877.98046875
2020-03-03 00:00:00+00:00,3003.3701171875,1486.0799560546875,8594.490234375
2020-03-04 00:00:00+00:00,3130.1201171875,1531.199951171875,8949.2802734375
2020-03-05 00:00:00+00:00,3023.93994140625,1478.8199462890625,8671.66015625
2020-03-06 00:00:00+00:00,2972.3701171875,1449.219970703125,8530.33984375
2020-03-09 00:00:00+00:00,2746.56005859375,1313.43994140625,7948.02978515625
2020-03-10 00:00:00+00:00,2882.22998046875,1350.9000244140625,8372.26953125
2020-03-11 00:00:00+00:00,2741.3798828125,1264.300048828125,8006.1201171875
2020-03-12 00:00:00+00:00,2480.639892578125,1122.9300537109375,7263.64990234375
2020-03-13 00:00:00+00:00,2711.02001953125,1210.1300048828125,7995.259765625
2020-03-16 00:00:00+00:00,2386.1298828125,1037.4200439453125,7020.3798828125
2020-03-17 00:00:00+00:00,2529.18994140625,1106.510009765625,7473.9501953125
2020-03-18 00:00:00+00:00,2398.10009765625,991.1599731445312,7175.18017578125
2020-03-19 00:00:00+00:00,2409.389892578125,1058.75,7288.52001953125
2020-03-20 00:00:00+00:00,2304.919921875,1013.8900146484375,6994.2900390625
2020-03-23 00:00:00+00:00,2237.39990234375,1002.4000244140625,7006.919921875
2020-03-24 00:00:00+00:00,2447.330078125,1096.5400390625,7553.830078125
2020-03-25 00:00:00+00:00,2475.56005859375,1110.3699951171875,7469.6201171875
2020-03-26 00:00:00+00:00,2630.070068359375,1180.3199462890625,7897.1298828125
2020-03-27 00:00:00+00:00,2541.469970703125,1131.989990234375,7588.3701171875
2020-03-30 00:00:00+00:00,2626.64990234375,1158.3199462890625,7889.009765625
2020-03-31 00:00:00+00:00,2584.590087890625,1153.0999755859375,7813.5
2020-04-01 00:00:00+00:00,2470.5,1071.989990234375,7486.2900390625
2020-04-02 00:00:00+00:00,2526.89990234375,1085.81005859375,7635.66015625
2020-04-03 00:00:00+00:00,2488.64990234375,1052.050048828125,7528.10986328125
2020-04-06 00:00:00+00:00,2663.679931640625,1138.780029296875,8081.66015625
2020-04-07 00:00:00+00:00,2659.409912109375,1139.1700439453125,8049.31005859375
2020-04-08 00:00:00+00:00,2749.97998046875,1191.6600341796875,8229.5400390625
2020-04-09 00:00:00+00:00,2789.820068359375,1246.72998046875,8238.5302734375
2020-04-13 00:00:00+00:00,2761.6298828125,1212.0400390625,8332.740234375
2020-04-14 00:00:00+00:00,2846.06005859375,1237.3299560546875,8692.16015625
2020-04-15 00:00:00+00:00,2783.360107421875,1183.97998046875,8591.9599609375
2020-04-16 00:00:00+00:00,2799.550048828125,1178.0899658203125,8757.830078125
2020-04-17 00:00:00+00:00,2874.56005859375,1229.0999755859375,8832.41015625
2020-04-20 00:00:00+00:00,2823.159912109375,1213.3499755859375,8726.509765625
2020-04-21 00:00:00+00:00,2736.56005859375,1185.0899658203125,8403.0
2020-04-22 00:00:00+00:00,2799.31005859375,1201.52001953125,8664.6396484375
2020-04-23 00:00:00+00:00,2797.800048828125,1214.06005859375,8641.5
2020-04-24 00:00:00+00:00,2836.739990234375,1233.050048828125,8786.599609375
2020-04-27 00:00:00+00:00,2878.47998046875,1281.8800048828125,8837.66015625
2020-04-28 00:00:00+00:00,2863.389892578125,1298.0799560546875,8677.599609375
2020-04-29 00:00:00+00:00,2939.510009765625,1360.760009765625,8982.759765625
2020-04-30 00:00:00+00:00,2912.429931640625,1310.6600341796875,9000.509765625
2020-05-01 00:00:00+00:00,2830.7099609375,1260.47998046875,8718.1796875
